yourlist:M202009175C475328CEF75220C360D524E9D456CE457C3CW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P37268	P37268	FDFT_HUMAN	reviewed	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase 1)	FDFT1	Homo sapiens (Human)	417
P18206	P18206	VINC_HUMAN	reviewed	Vinculin (Metavinculin) (MV)	VCL	Homo sapiens (Human)	1134
P11387	P11387	TOP1_HUMAN	reviewed	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765
Q96DG6	Q96DG6	CMBL_HUMAN	reviewed	Carboxymethylenebutenolidase homolog (EC 3.1.-.-)	CMBL	Homo sapiens (Human)	245
Q13501	Q13501	SQSTM_HUMAN	reviewed	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	SQSTM1 ORCA OSIL	Homo sapiens (Human)	440
P11021	P11021	BIP_HUMAN	reviewed	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	Homo sapiens (Human)	654
O95197	O95197	RTN3_HUMAN	reviewed	Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII)	RTN3 ASYIP NSPL2	Homo sapiens (Human)	1032
O00483	O00483	NDUA4_HUMAN	reviewed	Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ) (CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit)	NDUFA4	Homo sapiens (Human)	81
P52948	P52948	NUP98_HUMAN	reviewed	Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]	NUP98 ADAR2	Homo sapiens (Human)	1817
P61313	P61313	RL15_HUMAN	reviewed	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	RPL15 EC45 TCBAP0781	Homo sapiens (Human)	204
Q6P2Q9	Q6P2Q9	PRP8_HUMAN	reviewed	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)	PRPF8 PRPC8	Homo sapiens (Human)	2335
P50395	P50395	GDIB_HUMAN	reviewed	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	GDI2 RABGDIB	Homo sapiens (Human)	445
Q96EY8	Q96EY8	MMAB_HUMAN	reviewed	Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase) (Methylmalonic aciduria type B protein)	MMAB	Homo sapiens (Human)	250
O75127	O75127	PTCD1_HUMAN	reviewed	Pentatricopeptide repeat-containing protein 1, mitochondrial	PTCD1 KIAA0632	Homo sapiens (Human)	700
P19012	P19012	K1C15_HUMAN	reviewed	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15 KRTB	Homo sapiens (Human)	456
O00560	O00560	SDCB1_HUMAN	reviewed	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	SDCBP MDA9 SYCL	Homo sapiens (Human)	298
O75717	O75717	WDHD1_HUMAN	reviewed	WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1)	WDHD1 AND1	Homo sapiens (Human)	1129
Q8TB92	Q8TB92	HMGC2_HUMAN	reviewed	3-hydroxy-3-methylglutaryl-CoA lyase, cytoplasmic (EC 4.1.3.4) (3-hydroxy-3-methylglutaryl-CoA lyase-like protein 1) (Endoplasmic reticulum 3-hydroxy-3-methylglutaryl-CoA lyase) (er-cHL)	HMGCLL1	Homo sapiens (Human)	370
P30520	P30520	PURA2_HUMAN	reviewed	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)	ADSS2 ADSS	Homo sapiens (Human)	456
P16401	P16401	H15_HUMAN	reviewed	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	H1-5 H1F5 HIST1H1B	Homo sapiens (Human)	226
P32969	P32969	RL9_HUMAN	reviewed	60S ribosomal protein L9 (Large ribosomal subunit protein uL6)	RPL9 OK/SW-cl.103; RPL9P7; RPL9P8; RPL9P9	Homo sapiens (Human)	192
Q6PL18	Q6PL18	ATAD2_HUMAN	reviewed	ATPase family AAA domain-containing protein 2 (EC 3.6.1.-) (AAA nuclear coregulator cancer-associated protein) (ANCCA)	ATAD2 L16 PRO2000	Homo sapiens (Human)	1390
Q08379	Q08379	GOGA2_HUMAN	reviewed	Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130) (GM130 autoantigen) (Golgin-95)	GOLGA2	Homo sapiens (Human)	1002
P30084	P30084	ECHM_HUMAN	reviewed	Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase) (SCEH)	ECHS1	Homo sapiens (Human)	290
Q9BXS6	Q9BXS6	NUSAP_HUMAN	reviewed	Nucleolar and spindle-associated protein 1 (NuSAP)	NUSAP1 ANKT BM-037 PRO0310	Homo sapiens (Human)	441
Q9Y281	Q9Y281	COF2_HUMAN	reviewed	Cofilin-2 (Cofilin, muscle isoform)	CFL2	Homo sapiens (Human)	166
Q8NC51	Q8NC51	PAIRB_HUMAN	reviewed	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	SERBP1 PAIRBP1 CGI-55	Homo sapiens (Human)	408
Q07020	Q07020	RL18_HUMAN	reviewed	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	RPL18	Homo sapiens (Human)	188
Q16698	Q16698	DECR_HUMAN	reviewed	2,4-dienoyl-CoA reductase, mitochondrial (EC 1.3.1.34) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH]) (Short chain dehydrogenase/reductase family 18C member 1)	DECR1 DECR SDR18C1	Homo sapiens (Human)	335
P00338	P00338	LDHA_HUMAN	reviewed	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	Homo sapiens (Human)	332
Q8WYA6	Q8WYA6	CTBL1_HUMAN	reviewed	Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19)	CTNNBL1 C20orf33 PP8304	Homo sapiens (Human)	563
P14625	P14625	ENPL_HUMAN	reviewed	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 TRA1	Homo sapiens (Human)	803
P55263	P55263	ADK_HUMAN	reviewed	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	ADK	Homo sapiens (Human)	362
L0R819	L0R819	ASURF_HUMAN	reviewed	ASNSD1 upstream open reading frame protein (ASNSD1 small/short open reading frame-encoded polypeptide) (ASNSD1-SEP)	ASDURF	Homo sapiens (Human)	96
A6NHR9	A6NHR9	SMHD1_HUMAN	reviewed	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	SMCHD1 KIAA0650	Homo sapiens (Human)	2005
Q12972	Q12972	PP1R8_HUMAN	reviewed	Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8) [Includes: Activator of RNA decay (EC 3.1.4.-) (ARD-1)]	PPP1R8 ARD1 NIPP1	Homo sapiens (Human)	351
Q13492	Q13492	PICAL_HUMAN	reviewed	Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia protein)	PICALM CALM	Homo sapiens (Human)	652
O43676	O43676	NDUB3_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (Complex I-B12) (CI-B12) (NADH-ubiquinone oxidoreductase B12 subunit)	NDUFB3	Homo sapiens (Human)	98
P05388	P05388	RLA0_HUMAN	reviewed	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	RPLP0	Homo sapiens (Human)	317
P20248	P20248	CCNA2_HUMAN	reviewed	Cyclin-A2 (Cyclin-A) (Cyclin A)	CCNA2 CCN1 CCNA	Homo sapiens (Human)	432
P19404	P19404	NDUV2_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)	NDUFV2	Homo sapiens (Human)	249
P00367	P00367	DHE3_HUMAN	reviewed	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	GLUD1 GLUD	Homo sapiens (Human)	558
P08243	P08243	ASNS_HUMAN	reviewed	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)	ASNS TS11	Homo sapiens (Human)	561
P52701	P52701	MSH6_HUMAN	reviewed	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP	Homo sapiens (Human)	1360
Q8WWK9	Q8WWK9	CKAP2_HUMAN	reviewed	Cytoskeleton-associated protein 2 (CTCL tumor antigen se20-10) (Tumor- and microtubule-associated protein)	CKAP2 LB1 TMAP	Homo sapiens (Human)	683
P08134	P08134	RHOC_HUMAN	reviewed	Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9)	RHOC ARH9 ARHC	Homo sapiens (Human)	193
Q08211	Q08211	DHX9_HUMAN	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	1270
Q03701	Q03701	CEBPZ_HUMAN	reviewed	CCAAT/enhancer-binding protein zeta (CCAAT-box-binding transcription factor) (CBF) (CCAAT-binding factor)	CEBPZ CBF2	Homo sapiens (Human)	1054
O95274	O95274	LYPD3_HUMAN	reviewed	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4)	LYPD3 C4.4A UNQ491/PRO1007	Homo sapiens (Human)	346
P04183	P04183	KITH_HUMAN	reviewed	Thymidine kinase, cytosolic (EC 2.7.1.21)	TK1	Homo sapiens (Human)	234
Q6NXT1	Q6NXT1	ANR54_HUMAN	reviewed	Ankyrin repeat domain-containing protein 54 (Lyn-interacting ankyrin repeat protein)	ANKRD54 LIAR	Homo sapiens (Human)	300
O94925	O94925	GLSK_HUMAN	reviewed	Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) (K-glutaminase) (L-glutamine amidohydrolase) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]	GLS GLS1 KIAA0838	Homo sapiens (Human)	669
Q7Z3J2	Q7Z3J2	VP35L_HUMAN	reviewed	VPS35 endosomal protein sorting factor-like (Esophageal cancer-associated protein)	VPS35L C16orf62 101F10.2	Homo sapiens (Human)	963
Q9H6S3	Q9H6S3	ES8L2_HUMAN	reviewed	Epidermal growth factor receptor kinase substrate 8-like protein 2 (EPS8-like protein 2) (Epidermal growth factor receptor pathway substrate 8-related protein 2) (EPS8-related protein 2)	EPS8L2 EPS8R2 PP13181	Homo sapiens (Human)	715
Q9NZM1	Q9NZM1	MYOF_HUMAN	reviewed	Myoferlin (Fer-1-like protein 3)	MYOF FER1L3 KIAA1207	Homo sapiens (Human)	2061
P51991	P51991	ROA3_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	HNRNPA3 HNRPA3	Homo sapiens (Human)	378
Q9NY93	Q9NY93	DDX56_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	DDX56 DDX21 NOH61	Homo sapiens (Human)	547
P16403	P16403	H12_HUMAN	reviewed	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	H1-2 H1F2 HIST1H1C	Homo sapiens (Human)	213
Q9BW19	Q9BW19	KIFC1_HUMAN	reviewed	Kinesin-like protein KIFC1 (Kinesin-like protein 2) (Kinesin-related protein HSET)	KIFC1 HSET KNSL2	Homo sapiens (Human)	673
O43795	O43795	MYO1B_HUMAN	reviewed	Unconventional myosin-Ib (MYH-1c) (Myosin I alpha) (MMI-alpha) (MMIa)	MYO1B	Homo sapiens (Human)	1136
Q12864	Q12864	CAD17_HUMAN	reviewed	Cadherin-17 (Intestinal peptide-associated transporter HPT-1) (Liver-intestine cadherin) (LI-cadherin)	CDH17	Homo sapiens (Human)	832
P02647	P02647	APOA1_HUMAN	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	APOA1	Homo sapiens (Human)	267
P21912	P21912	SDHB_HUMAN	reviewed	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	SDHB SDH SDH1	Homo sapiens (Human)	280
O60701	O60701	UGDH_HUMAN	reviewed	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	UGDH	Homo sapiens (Human)	494
Q86Y07	Q86Y07	VRK2_HUMAN	reviewed	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	VRK2	Homo sapiens (Human)	508
Q03169	Q03169	TNAP2_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 2 (TNF alpha-induced protein 2) (Primary response gene B94 protein)	TNFAIP2	Homo sapiens (Human)	654
Q8N983	Q8N983	RM43_HUMAN	reviewed	39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial large ribosomal subunit protein mL43) (Mitochondrial ribosomal protein bMRP36a)	MRPL43	Homo sapiens (Human)	215
O43181	O43181	NDUS4_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	NDUFS4	Homo sapiens (Human)	175
P04181	P04181	OAT_HUMAN	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	OAT	Homo sapiens (Human)	439
P36578	P36578	RL4_HUMAN	reviewed	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	RPL4 RPL1	Homo sapiens (Human)	427
Q96EL3	Q96EL3	RM53_HUMAN	reviewed	39S ribosomal protein L53, mitochondrial (L53mt) (MRP-L53) (Mitochondrial large ribosomal subunit protein mL53)	MRPL53	Homo sapiens (Human)	112
O75368	O75368	SH3L1_HUMAN	reviewed	SH3 domain-binding glutamic acid-rich-like protein	SH3BGRL	Homo sapiens (Human)	114
Q9NX14	Q9NX14	NDUBB_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)	NDUFB11 UNQ111/PRO1064	Homo sapiens (Human)	153
Q9Y5Y6	Q9Y5Y6	ST14_HUMAN	reviewed	Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)	ST14 PRSS14 SNC19 TADG15	Homo sapiens (Human)	855
Q9Y294	Q9Y294	ASF1A_HUMAN	reviewed	Histone chaperone ASF1A (Anti-silencing function protein 1 homolog A) (hAsf1) (hAsf1a) (CCG1-interacting factor A) (CIA) (hCIA)	ASF1A CGI-98 HSPC146	Homo sapiens (Human)	204
P0CG38	P0CG38	POTEI_HUMAN	reviewed	POTE ankyrin domain family member I	POTEI	Homo sapiens (Human)	1075
Q9UPN6	Q9UPN6	SCAF8_HUMAN	reviewed	SR-related and CTD-associated factor 8 (CDC5L complex-associated protein 7) (RNA-binding motif protein 16)	SCAF8 CCAP7 KIAA1116 RBM16	Homo sapiens (Human)	1271
Q9NUN5	Q9NUN5	LMBD1_HUMAN	reviewed	Lysosomal cobalamin transport escort protein LMBD1 (LMBD1) (HDAg-L-interacting protein NESI) (LMBR1 domain-containing protein 1) (Nuclear export signal-interacting protein)	LMBRD1 C6orf209 NESI BM-021 CD001 MSTP044	Homo sapiens (Human)	540
Q06124	Q06124	PTN11_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593
Q9Y548	Q9Y548	YIPF1_HUMAN	reviewed	Protein YIPF1 (YIP1 family member 1)	YIPF1	Homo sapiens (Human)	306
O95573	O95573	ACSL3_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3)	ACSL3 ACS3 FACL3 LACS3	Homo sapiens (Human)	720
Q9C0A0	Q9C0A0	CNTP4_HUMAN	reviewed	Contactin-associated protein-like 4 (Cell recognition molecule Caspr4)	CNTNAP4 CASPR4 KIAA1763	Homo sapiens (Human)	1308
Q8WUM4	Q8WUM4	PDC6I_HUMAN	reviewed	Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)	PDCD6IP AIP1 ALIX KIAA1375	Homo sapiens (Human)	868
P04040	P04040	CATA_HUMAN	reviewed	Catalase (EC 1.11.1.6)	CAT	Homo sapiens (Human)	527
P09525	P09525	ANXA4_HUMAN	reviewed	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)	ANXA4 ANX4	Homo sapiens (Human)	319
O95881	O95881	TXD12_HUMAN	reviewed	Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Endoplasmic reticulum resident protein 18) (ER protein 18) (ERp18) (Endoplasmic reticulum resident protein 19) (ER protein 19) (ERp19) (Thioredoxin-like protein p19) (hTLP19)	TXNDC12 TLP19 UNQ713/PRO1376	Homo sapiens (Human)	172
O60784	O60784	TOM1_HUMAN	reviewed	Target of Myb protein 1	TOM1	Homo sapiens (Human)	492
O43707	O43707	ACTN4_HUMAN	reviewed	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	Homo sapiens (Human)	911
O60313	O60313	OPA1_HUMAN	reviewed	Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]	OPA1 KIAA0567	Homo sapiens (Human)	960
P46060	P46060	RAGP1_HUMAN	reviewed	Ran GTPase-activating protein 1 (RanGAP1)	RANGAP1 KIAA1835 SD	Homo sapiens (Human)	587
Q9UNE7	Q9UNE7	CHIP_HUMAN	reviewed	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	Homo sapiens (Human)	303
P47756	P47756	CAPZB_HUMAN	reviewed	F-actin-capping protein subunit beta (CapZ beta)	CAPZB	Homo sapiens (Human)	277
Q9GZZ1	Q9GZZ1	NAA50_HUMAN	reviewed	N-alpha-acetyltransferase 50 (hNaa50p) (EC 2.3.1.258) (N-acetyltransferase 13) (N-acetyltransferase 5) (hNAT5) (N-acetyltransferase san homolog) (hSAN) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit)	NAA50 MAK3 NAT13 NAT5	Homo sapiens (Human)	169
O95478	O95478	NSA2_HUMAN	reviewed	Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1)	NSA2 TINP1 HUSSY-29	Homo sapiens (Human)	260
Q9UL33	Q9UL33	TPC2L_HUMAN	reviewed	Trafficking protein particle complex subunit 2-like protein	TRAPPC2L HSPC126	Homo sapiens (Human)	140
Q9Y6M0	Q9Y6M0	TEST_HUMAN	reviewed	Testisin (EC 3.4.21.-) (Eosinophil serine protease 1) (ESP-1) (Serine protease 21)	PRSS21 ESP1 TEST1 UNQ266/PRO303	Homo sapiens (Human)	314
Q9Y2R0	Q9Y2R0	COA3_HUMAN	reviewed	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial (Coiled-coil domain-containing protein 56) (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 12 kDa)	COA3 CCDC56 MITRAC12 HSPC009	Homo sapiens (Human)	106
P30046	P30046	DOPD_HUMAN	reviewed	D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase) (Phenylpyruvate tautomerase II)	DDT	Homo sapiens (Human)	118
P68402	P68402	PA1B2_HUMAN	reviewed	Platelet-activating factor acetylhydrolase IB subunit beta (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta)	PAFAH1B2 PAFAHB	Homo sapiens (Human)	229
Q9UPN7	Q9UPN7	PP6R1_HUMAN	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 1 (SAPS domain family member 1)	PPP6R1 KIAA1115 PP6R1 SAPS1	Homo sapiens (Human)	881
O60493	O60493	SNX3_HUMAN	reviewed	Sorting nexin-3 (Protein SDP3)	SNX3	Homo sapiens (Human)	162
Q14739	Q14739	LBR_HUMAN	reviewed	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase)	LBR	Homo sapiens (Human)	615
O95395	O95395	GCNT3_HUMAN	reviewed	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (hC2GnT-M) (Core 2/core 4 beta-1,6-N-acetylglucosaminyltransferase) (C2/4GnT)	GCNT3	Homo sapiens (Human)	438
Q6YN16	Q6YN16	HSDL2_HUMAN	reviewed	Hydroxysteroid dehydrogenase-like protein 2 (EC 1.-.-.-) (Short chain dehydrogenase/reductase family 13C member 1)	HSDL2 C9orf99 SDR13C1	Homo sapiens (Human)	418
P05067	P05067	A4_HUMAN	reviewed	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770
P11216	P11216	PYGB_HUMAN	reviewed	Glycogen phosphorylase, brain form (EC 2.4.1.1)	PYGB	Homo sapiens (Human)	843
Q14978	Q14978	NOLC1_HUMAN	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	NOLC1 KIAA0035 NS5ATP13	Homo sapiens (Human)	699
Q9NWH9	Q9NWH9	SLTM_HUMAN	reviewed	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	SLTM MET	Homo sapiens (Human)	1034
P84243	P84243	H33_HUMAN	reviewed	Histone H3.3	H3-3A H3.3A H3F3 H3F3A PP781; H3-3B H3.3B H3F3B	Homo sapiens (Human)	136
Q9UHB6	Q9UHB6	LIMA1_HUMAN	reviewed	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)	LIMA1 EPLIN SREBP3 PP624	Homo sapiens (Human)	759
P55209	P55209	NP1L1_HUMAN	reviewed	Nucleosome assembly protein 1-like 1 (NAP-1-related protein) (hNRP)	NAP1L1 NRP	Homo sapiens (Human)	391
P46013	P46013	KI67_HUMAN	reviewed	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	MKI67	Homo sapiens (Human)	3256
Q96BN8	Q96BN8	OTUL_HUMAN	reviewed	Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby)	OTULIN FAM105B	Homo sapiens (Human)	352
Q9NQC3	Q9NQC3	RTN4_HUMAN	reviewed	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)	RTN4 KIAA0886 NOGO My043 SP1507	Homo sapiens (Human)	1192
